mkdir: 313_0.01_fixcache: File exists
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 200000, ' objective : ', 1084983.2619999924)
('iter : ', 250000, ' objective : ', 919438.43999999785)
('iter : ', 240000, ' objective : ', 973565.47999999532)
('iter : ', 210000, ' objective : ', 1028429.939999989)
('iter : ', 260000, ' objective : ', 916708.28000000538)
('iter : ', 250000, ' objective : ', 970581.26000000723)
('iter : ', 210000, ' objective : ', 1084213.0439999965)
('iter : ', 220000, ' objective : ', 1025707.2899999956)
('iter : ', 270000, ' objective : ', 913801.59999999322)
('iter : ', 260000, ' objective : ', 967449.07999999798)
('iter : ', 220000, ' objective : ', 1083443.3459999938)
('iter : ', 230000, ' objective : ', 1023204.3900000142)
('iter : ', 280000, ' objective : ', 911175.91999999643)
('iter : ', 270000, ' objective : ', 964655.9399999883)
('iter : ', 230000, ' objective : ', 1082661.0040000002)
('iter : ', 240000, ' objective : ', 1020537.1400000016)
('iter : ', 290000, ' objective : ', 908747.04000000679)
('iter : ', 280000, ' objective : ', 961824.47999999067)
('iter : ', 300000, ' objective : ', 906455.67999999842)
('iter : ', 240000, ' objective : ', 1081915.849999994)
('iter : ', 250000, ' objective : ', 1017899.8199999894)
('iter : ', 290000, ' objective : ', 959343.56000000541)
('iter : ', 310000, ' objective : ', 904357.27999998839)
('iter : ', 260000, ' objective : ', 1015654.0300000029)
('iter : ', 250000, ' objective : ', 1081133.2899999954)
('iter : ', 300000, ' objective : ', 956844.92000000447)
('iter : ', 320000, ' objective : ', 901810.60000000906)
('iter : ', 270000, ' objective : ', 1013279.6999999981)
('iter : ', 260000, ' objective : ', 1080343.6400000169)
('iter : ', 310000, ' objective : ', 954411.07999999647)
('iter : ', 330000, ' objective : ', 899677.19999999763)
('iter : ', 280000, ' objective : ', 1010921.3500000068)
('iter : ', 340000, ' objective : ', 897835.0400000033)
('iter : ', 320000, ' objective : ', 952210.51999999676)
('iter : ', 270000, ' objective : ', 1079589.6779999968)
('iter : ', 350000, ' objective : ', 896013.44000000285)
('iter : ', 330000, ' objective : ', 949665.83999999356)
('iter : ', 290000, ' objective : ', 1008676.7900000041)
('iter : ', 280000, ' objective : ', 1078812.2520000099)
('iter : ', 360000, ' objective : ', 894165.4800000008)
('iter : ', 340000, ' objective : ', 947341.97999999952)
('iter : ', 300000, ' objective : ', 1006410.370000002)
('iter : ', 370000, ' objective : ', 892406.56000000029)
('iter : ', 290000, ' objective : ', 1078019.3299999887)
('iter : ', 350000, ' objective : ', 945089.33999999729)
('iter : ', 310000, ' objective : ', 1004204.4599999978)
('iter : ', 380000, ' objective : ', 890615.43999999668)
('iter : ', 360000, ' objective : ', 942957.61999999895)
('iter : ', 300000, ' objective : ', 1077272.3960000011)
('iter : ', 390000, ' objective : ', 888905.84000000451)
('iter : ', 320000, ' objective : ', 1002005.7599999981)
('iter : ', 370000, ' objective : ', 940881.38000000117)
('iter : ', 400000, ' objective : ', 887232.84000000765)
('iter : ', 310000, ' objective : ', 1076495.125999992)
('iter : ', 330000, ' objective : ', 999867.31999999145)
('iter : ', 380000, ' objective : ', 938885.10000000917)
('iter : ', 410000, ' objective : ', 885774.75999999768)
('iter : ', 340000, ' objective : ', 997755.18999999063)
('iter : ', 320000, ' objective : ', 1075736.1200000076)
('iter : ', 390000, ' objective : ', 936910.78000000084)
('iter : ', 420000, ' objective : ', 884175.24000000057)
('iter : ', 350000, ' objective : ', 995712.19999998703)
('iter : ', 330000, ' objective : ', 1074956.0120000013)
('iter : ', 430000, ' objective : ', 883000.43999999855)
('iter : ', 400000, ' objective : ', 934833.36000000336)
('iter : ', 360000, ' objective : ', 993828.40999999584)
('iter : ', 440000, ' objective : ', 881857.36000001419)
('iter : ', 340000, ' objective : ', 1074199.8319999906)
('iter : ', 410000, ' objective : ', 932936.19999999646)
('iter : ', 370000, ' objective : ', 991965.01999999199)
('iter : ', 450000, ' objective : ', 880551.24000000604)
('iter : ', 420000, ' objective : ', 931146.66000000038)
('iter : ', 350000, ' objective : ', 1073451.824000014)
('iter : ', 460000, ' objective : ', 879463.19999999856)
('iter : ', 380000, ' objective : ', 990205.96000000683)
('iter : ', 430000, ' objective : ', 929391.17999999819)
('iter : ', 470000, ' objective : ', 878153.15999998862)
('iter : ', 360000, ' objective : ', 1072734.1159999927)
('iter : ', 390000, ' objective : ', 988332.23000000697)
('iter : ', 440000, ' objective : ', 927614.01999998849)
('iter : ', 480000, ' objective : ', 876944.95999999775)
('iter : ', 370000, ' objective : ', 1072009.844000007)
('iter : ', 400000, ' objective : ', 986594.66000000155)
('iter : ', 450000, ' objective : ', 925984.42000000097)
('iter : ', 490000, ' objective : ', 875952.88000000187)
('iter : ', 460000, ' objective : ', 924434.79999999842)
('iter : ', 410000, ' objective : ', 984781.98000000231)
('iter : ', 380000, ' objective : ', 1071283.0820000006)
('iter : ', 500000, ' objective : ', 874708.95999999414)
('iter : ', 470000, ' objective : ', 922805.75999999908)
('iter : ', 510000, ' objective : ', 873662.6399999992)
('iter : ', 390000, ' objective : ', 1070529.3940000038)
('iter : ', 420000, ' objective : ', 983038.98000000382)
('iter : ', 520000, ' objective : ', 872669.79999999865)
('iter : ', 480000, ' objective : ', 921310.45999999973)
('iter : ', 430000, ' objective : ', 981393.70999998867)
('iter : ', 400000, ' objective : ', 1069765.7000000107)
('iter : ', 490000, ' objective : ', 919918.73999999673)
('iter : ', 530000, ' objective : ', 871742.83999999729)
('iter : ', 440000, ' objective : ', 979692.40000000002)
('iter : ', 500000, ' objective : ', 918456.79999999818)
('iter : ', 410000, ' objective : ', 1069044.3780000019)
('iter : ', 540000, ' objective : ', 870889.92000000516)
('iter : ', 450000, ' objective : ', 978032.75999999908)
('iter : ', 510000, ' objective : ', 917009.02000000363)
('iter : ', 550000, ' objective : ', 869947.07999999786)
('iter : ', 420000, ' objective : ', 1068351.1119999846)
('iter : ', 460000, ' objective : ', 976403.90000000503)
('iter : ', 560000, ' objective : ', 869075.39999999688)
('iter : ', 520000, ' objective : ', 915604.5999999874)
('iter : ', 570000, ' objective : ', 868155.59999999811)
('iter : ', 470000, ' objective : ', 974847.16999999271)
('iter : ', 430000, ' objective : ', 1067619.8979999947)
('iter : ', 530000, ' objective : ', 914121.27999999502)
('iter : ', 580000, ' objective : ', 867530.67999999935)
('iter : ', 480000, ' objective : ', 973200.33000000508)
('iter : ', 440000, ' objective : ', 1066900.0440000095)
('iter : ', 540000, ' objective : ', 912799.2799999963)
('iter : ', 590000, ' objective : ', 866655.64000000292)
('iter : ', 490000, ' objective : ', 971570.20000000938)
('iter : ', 550000, ' objective : ', 911497.65999999654)
('iter : ', 450000, ' objective : ', 1066195.7319999977)
('iter : ', 600000, ' objective : ', 865966.20000000275)
('iter : ', 500000, ' objective : ', 970091.89999999327)
('iter : ', 560000, ' objective : ', 910226.53999999433)
('iter : ', 610000, ' objective : ', 865137.68000000238)
('iter : ', 460000, ' objective : ', 1065459.5520000008)
('iter : ', 510000, ' objective : ', 968626.84999998286)
('iter : ', 570000, ' objective : ', 908966.70000000112)
('iter : ', 620000, ' objective : ', 864350.84000000334)
('iter : ', 470000, ' objective : ', 1064795.7439999946)
('iter : ', 580000, ' objective : ', 907729.80000000109)
('iter : ', 630000, ' objective : ', 863716.56000001193)
('iter : ', 520000, ' objective : ', 967206.60000000801)
('iter : ', 640000, ' objective : ', 863041.3599999951)
('iter : ', 590000, ' objective : ', 906705.13999999908)
('iter : ', 480000, ' objective : ', 1064097.6260000048)
('iter : ', 530000, ' objective : ', 965817.44000000658)
('iter : ', 650000, ' objective : ', 862580.08000001428)
('iter : ', 600000, ' objective : ', 905661.61999999371)
('iter : ', 540000, ' objective : ', 964492.77000000235)
('iter : ', 490000, ' objective : ', 1063404.8099999879)
('iter : ', 610000, ' objective : ', 904577.79999999877)
('iter : ', 660000, ' objective : ', 861935.4400000046)
('iter : ', 550000, ' objective : ', 963286.80000000505)
('iter : ', 500000, ' objective : ', 1062722.7779999981)
('iter : ', 670000, ' objective : ', 861451.44000000774)
('iter : ', 620000, ' objective : ', 903399.32000000332)
('iter : ', 560000, ' objective : ', 961934.34999999893)
('iter : ', 680000, ' objective : ', 861057.68000000226)
('iter : ', 630000, ' objective : ', 902401.15999999235)
('iter : ', 510000, ' objective : ', 1062021.1740000087)
('iter : ', 690000, ' objective : ', 860593.51999999827)
('iter : ', 570000, ' objective : ', 960652.57999999973)
('iter : ', 640000, ' objective : ', 901253.51999999618)
('iter : ', 520000, ' objective : ', 1061340.3139999895)
('iter : ', 700000, ' objective : ', 860113.44000000483)
('iter : ', 650000, ' objective : ', 900328.10000000312)
('iter : ', 580000, ' objective : ', 959376.72000000626)
('iter : ', 710000, ' objective : ', 859533.7599999978)
('iter : ', 530000, ' objective : ', 1060641.6160000088)
('iter : ', 590000, ' objective : ', 958062.17999999749)
('iter : ', 660000, ' objective : ', 899359.77999999525)
('iter : ', 720000, ' objective : ', 859172.28000000364)
('iter : ', 600000, ' objective : ', 956706.74999999441)
('iter : ', 670000, ' objective : ', 898387.69999999169)
('iter : ', 540000, ' objective : ', 1059962.4719999982)
('iter : ', 730000, ' objective : ', 858647.04000000458)
('iter : ', 680000, ' objective : ', 897427.77999999293)
('iter : ', 610000, ' objective : ', 955423.85000001208)
('iter : ', 740000, ' objective : ', 858243.08000000508)
('iter : ', 550000, ' objective : ', 1059276.6720000021)
('iter : ', 750000, ' objective : ', 857752.31999999459)
('iter : ', 690000, ' objective : ', 896514.58000000985)
('iter : ', 620000, ' objective : ', 954200.11000000313)
('iter : ', 560000, ' objective : ', 1058583.095999995)
('iter : ', 760000, ' objective : ', 857326.23999998369)
('iter : ', 700000, ' objective : ', 895640.06000001309)
('iter : ', 630000, ' objective : ', 953009.21000001126)
('iter : ', 770000, ' objective : ', 856904.039999992)
('iter : ', 710000, ' objective : ', 894681.96000000299)
('iter : ', 570000, ' objective : ', 1057903.8740000022)
('iter : ', 640000, ' objective : ', 951889.59000000451)
('iter : ', 780000, ' objective : ', 856558.64000000339)
('iter : ', 720000, ' objective : ', 893730.66000000271)
('iter : ', 650000, ' objective : ', 950714.94000000204)
('iter : ', 580000, ' objective : ', 1057189.5920000011)
('iter : ', 790000, ' objective : ', 856282.15999999631)
('iter : ', 730000, ' objective : ', 892808.33999999159)
('iter : ', 660000, ' objective : ', 949581.74000000313)
('iter : ', 590000, ' objective : ', 1056506.4699999986)
('iter : ', 800000, ' objective : ', 855881.92000000656)
('iter : ', 740000, ' objective : ', 891976.640000012)
('iter : ', 810000, ' objective : ', 855460.92000000319)
('iter : ', 670000, ' objective : ', 948470.73000000161)
('iter : ', 750000, ' objective : ', 891164.63999999803)
('iter : ', 600000, ' objective : ', 1055825.6779999994)
('iter : ', 820000, ' objective : ', 855063.19999999681)
('iter : ', 760000, ' objective : ', 890358.81999999098)
('iter : ', 680000, ' objective : ', 947384.02000000398)
('iter : ', 610000, ' objective : ', 1055159.445999996)
