mkdir: 313_0.01_fixcache: File exists
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 1500000, 'objective : ', 1040460.090000001)
('iter : ', 1200000, 'objective : ', 1055152.4800000053)
('iter : ', 1600000, 'objective : ', 1058403.9200000023)
('iter : ', 1600000, 'objective : ', 1044574.8400000081)
('iter : ', 1600000, 'objective : ', 1040195.8499999989)
('iter : ', 1300000, 'objective : ', 1054407.7660000119)
('iter : ', 1700000, 'objective : ', 1060396.8799999997)
('iter : ', 1700000, 'objective : ', 1045690.1199999913)
('iter : ', 1700000, 'objective : ', 1039966.6099999991)
('iter : ', 1800000, 'objective : ', 1061849.6000000045)
('iter : ', 1400000, 'objective : ', 1053814.1160000116)
('iter : ', 1800000, 'objective : ', 1046224.4000000069)
('iter : ', 1800000, 'objective : ', 1039753.9499999906)
('iter : ', 1900000, 'objective : ', 1063158.5599999998)
('iter : ', 1500000, 'objective : ', 1053180.340000001)
('iter : ', 1900000, 'objective : ', 1046820.4799999959)
('iter : ', 1900000, 'objective : ', 1039903.3200000029)
('iter : ', 1600000, 'objective : ', 1052650.8459999962)
('iter : ', 2000000, 'objective : ', 1065192.039999991)
('iter : ', 2000000, 'objective : ', 1047625.5799999996)
('iter : ', 2000000, 'objective : ', 1040081.3499999982)
('iter : ', 2100000, 'objective : ', 1066850.2400000056)
('iter : ', 1700000, 'objective : ', 1052161.0840000112)
('iter : ', 2100000, 'objective : ', 1048032.4799999939)
('iter : ', 2100000, 'objective : ', 1040041.6599999875)
('iter : ', 2200000, 'objective : ', 1069289.439999992)
('iter : ', 2200000, 'objective : ', 1048693.940000013)
('iter : ', 1800000, 'objective : ', 1051630.0180000067)
('iter : ', 2300000, 'objective : ', 1071853.1599999946)
('iter : ', 2200000, 'objective : ', 1040225.9000000011)
('iter : ', 2300000, 'objective : ', 1048596.2400000074)
('iter : ', 1900000, 'objective : ', 1051100.0420000022)
('iter : ', 2400000, 'objective : ', 1073502.4400000004)
('iter : ', 2300000, 'objective : ', 1040374.1400000013)
('iter : ', 2400000, 'objective : ', 1049143.5000000063)
('iter : ', 2000000, 'objective : ', 1050647.2460000026)
('iter : ', 2500000, 'objective : ', 1076131.3600000041)
('iter : ', 2400000, 'objective : ', 1040701.2900000099)
('iter : ', 2500000, 'objective : ', 1049570.319999994)
('iter : ', 2600000, 'objective : ', 1078069.7199999979)
('iter : ', 2100000, 'objective : ', 1050263.4620000029)
('iter : ', 2500000, 'objective : ', 1040945.3900000026)
('iter : ', 2600000, 'objective : ', 1050193.2799999935)
('iter : ', 2700000, 'objective : ', 1079792.6800000006)
('iter : ', 2600000, 'objective : ', 1041225.4400000034)
('iter : ', 2200000, 'objective : ', 1049849.0020000064)
('iter : ', 2700000, 'objective : ', 1050638.9600000023)
('iter : ', 2800000, 'objective : ', 1082224.6799999939)
('iter : ', 2700000, 'objective : ', 1041403.7599999991)
('iter : ', 2300000, 'objective : ', 1049484.9580000038)
('iter : ', 2800000, 'objective : ', 1051242.8999999997)
('iter : ', 2900000, 'objective : ', 1084887.2399999935)
('iter : ', 2800000, 'objective : ', 1041936.7500000065)
('iter : ', 2400000, 'objective : ', 1049083.6280000075)
('iter : ', 2900000, 'objective : ', 1051549.1599999887)
('iter : ', 3000000, 'objective : ', 1086653.679999999)
('iter : ', 2900000, 'objective : ', 1042270.6200000002)
('iter : ', 2500000, 'objective : ', 1048704.0820000097)
('iter : ', 3000000, 'objective : ', 1051794.9399999976)
('iter : ', 3100000, 'objective : ', 1087742.9600000014)
('iter : ', 3000000, 'objective : ', 1042627.29)
('iter : ', 2600000, 'objective : ', 1048328.698000011)
('iter : ', 3100000, 'objective : ', 1052505.9599999955)
('iter : ', 3200000, 'objective : ', 1088673.7599999923)
('iter : ', 3100000, 'objective : ', 1042928.1199999966)
('iter : ', 2700000, 'objective : ', 1047963.1560000007)
('iter : ', 3200000, 'objective : ', 1053151.0199999863)
('iter : ', 3300000, 'objective : ', 1089691.1600000043)
('iter : ', 3200000, 'objective : ', 1043314.3999999961)
('iter : ', 3300000, 'objective : ', 1053779.7800000045)
('iter : ', 2800000, 'objective : ', 1047623.7320000044)
('iter : ', 3400000, 'objective : ', 1091380.8000000042)
('iter : ', 3300000, 'objective : ', 1043700.7099999988)
('iter : ', 3400000, 'objective : ', 1054336.8199999959)
('iter : ', 3500000, 'objective : ', 1092889.48)
('iter : ', 2900000, 'objective : ', 1047287.0540000033)
('iter : ', 3400000, 'objective : ', 1044156.7799999983)
('iter : ', 3500000, 'objective : ', 1054786.6599999922)
('iter : ', 3600000, 'objective : ', 1094371.8799999985)
('iter : ', 3000000, 'objective : ', 1047048.2140000048)
('iter : ', 3600000, 'objective : ', 1055146.6799999997)
('iter : ', 3500000, 'objective : ', 1044378.5600000017)
('iter : ', 3700000, 'objective : ', 1095105.7199999951)
('iter : ', 3100000, 'objective : ', 1046807.3720000004)
('iter : ', 3700000, 'objective : ', 1055520.1800000023)
('iter : ', 3800000, 'objective : ', 1096859.2799999898)
('iter : ', 3600000, 'objective : ', 1044842.0099999952)
('iter : ', 3200000, 'objective : ', 1046578.3299999898)
('iter : ', 3800000, 'objective : ', 1055922.6199999992)
('iter : ', 3900000, 'objective : ', 1098324.2799999812)
('iter : ', 3700000, 'objective : ', 1044772.4200000039)
('iter : ', 3900000, 'objective : ', 1056791.0399999917)
('iter : ', 3300000, 'objective : ', 1046198.8819999993)
('iter : ', 4000000, 'objective : ', 1100265.1600000001)
('iter : ', 3800000, 'objective : ', 1045087.0199999894)
('iter : ', 4000000, 'objective : ', 1057667.2000000002)
('iter : ', 4100000, 'objective : ', 1101869.3600000057)
('iter : ', 3400000, 'objective : ', 1045806.8540000041)
('iter : ', 3900000, 'objective : ', 1045274.1899999932)
('iter : ', 4100000, 'objective : ', 1058649.539999997)
('iter : ', 4200000, 'objective : ', 1103537.5199999991)
('iter : ', 4000000, 'objective : ', 1045769.3099999999)
('iter : ', 3500000, 'objective : ', 1045400.8699999938)
('iter : ', 4200000, 'objective : ', 1059538.4800000016)
('iter : ', 4300000, 'objective : ', 1105097.5200000023)
('iter : ', 4100000, 'objective : ', 1045956.6500000068)
('iter : ', 3600000, 'objective : ', 1045033.9079999983)
('iter : ', 4300000, 'objective : ', 1060750.9799999946)
('iter : ', 4400000, 'objective : ', 1106553.4399999976)
('iter : ', 4200000, 'objective : ', 1046139.9299999999)
('iter : ', 3700000, 'objective : ', 1044738.8640000027)
('iter : ', 4400000, 'objective : ', 1061598.4599999995)
('iter : ', 4500000, 'objective : ', 1107760.079999995)
('iter : ', 4300000, 'objective : ', 1046391.3700000026)
('iter : ', 3800000, 'objective : ', 1044365.2239999999)
('iter : ', 4500000, 'objective : ', 1062531.2399999897)
('iter : ', 4600000, 'objective : ', 1108964.3599999831)
('iter : ', 3900000, 'objective : ', 1044039.5100000044)
('iter : ', 4400000, 'objective : ', 1046562.5800000028)
('iter : ', 4600000, 'objective : ', 1064174.2000000023)
('iter : ', 4700000, 'objective : ', 1110164.5999999812)
('iter : ', 4500000, 'objective : ', 1046980.8700000002)
('iter : ', 4000000, 'objective : ', 1043756.8980000087)
('iter : ', 4700000, 'objective : ', 1065256.3199999905)
('iter : ', 4800000, 'objective : ', 1111636.7600000065)
('iter : ', 4600000, 'objective : ', 1047306.9599999912)
('iter : ', 4100000, 'objective : ', 1043460.5900000073)
('iter : ', 4800000, 'objective : ', 1066126.4999999949)
('iter : ', 4900000, 'objective : ', 1112497.3199999915)
('iter : ', 4700000, 'objective : ', 1047490.6900000018)
('iter : ', 4900000, 'objective : ', 1067346.3999999994)
('iter : ', 4200000, 'objective : ', 1043217.737999998)
('iter : ', 5000000, 'objective : ', 1114076.559999997)
('iter : ', 4800000, 'objective : ', 1047922.6199999853)
('iter : ', 5000000, 'objective : ', 1068386.4199999939)
('iter : ', 5100000, 'objective : ', 1115251.3200000064)
('iter : ', 4300000, 'objective : ', 1042977.1879999964)
('iter : ', 4900000, 'objective : ', 1048237.269999993)
('iter : ', 5100000, 'objective : ', 1069530.3399999856)
('iter : ', 5200000, 'objective : ', 1117322.0800000015)
('iter : ', 4400000, 'objective : ', 1042737.865999999)
('iter : ', 5000000, 'objective : ', 1048519.5000000012)
('iter : ', 5200000, 'objective : ', 1071112.1599999976)
('iter : ', 5300000, 'objective : ', 1118486.4399999978)
('iter : ', 4500000, 'objective : ', 1042563.0000000079)
('iter : ', 5100000, 'objective : ', 1048737.0200000035)
('iter : ', 5300000, 'objective : ', 1071908.119999992)
('iter : ', 5400000, 'objective : ', 1120280.5599999977)
('iter : ', 4600000, 'objective : ', 1042398.4859999988)
('iter : ', 5200000, 'objective : ', 1048839.3199999954)
('iter : ', 5400000, 'objective : ', 1073139.8799999948)
('iter : ', 5500000, 'objective : ', 1122577.8800000052)
('iter : ', 5300000, 'objective : ', 1048886.5599999949)
('iter : ', 4700000, 'objective : ', 1042220.0880000086)
('iter : ', 5500000, 'objective : ', 1074302.2799999944)
('iter : ', 5600000, 'objective : ', 1124791.5199999984)
('iter : ', 5400000, 'objective : ', 1049112.9899999991)
('iter : ', 4800000, 'objective : ', 1042050.142000003)
('iter : ', 5600000, 'objective : ', 1075358.4400000058)
('iter : ', 5700000, 'objective : ', 1126917.8800000001)
('iter : ', 5500000, 'objective : ', 1049060.1100000036)
('iter : ', 5700000, 'objective : ', 1076083.8399999943)
('iter : ', 4900000, 'objective : ', 1041958.9220000017)
('iter : ', 5800000, 'objective : ', 1129361.9200000064)
('iter : ', 5800000, 'objective : ', 1076756.9799999967)
('iter : ', 5600000, 'objective : ', 1049538.4499999867)
('iter : ', 5000000, 'objective : ', 1041778.0480000075)
('iter : ', 5900000, 'objective : ', 1131407.400000005)
('iter : ', 5900000, 'objective : ', 1077883.779999994)
('iter : ', 5700000, 'objective : ', 1049766.0900000015)
('iter : ', 5100000, 'objective : ', 1041659.6700000041)
('iter : ', 6000000, 'objective : ', 1134366.2400000219)
('iter : ', 6000000, 'objective : ', 1078577.940000002)
('iter : ', 5800000, 'objective : ', 1049769.399999999)
('iter : ', 5200000, 'objective : ', 1041512.2259999979)
('iter : ', 6100000, 'objective : ', 1137283.4000000076)
('iter : ', 6100000, 'objective : ', 1079122.2200000014)
('iter : ', 5900000, 'objective : ', 1050042.4799999855)
('iter : ', 6200000, 'objective : ', 1140080.9600000023)
('iter : ', 5300000, 'objective : ', 1041352.4060000069)
('iter : ', 6200000, 'objective : ', 1079934.6999999941)
('iter : ', 6000000, 'objective : ', 1050140.390000002)
('iter : ', 6300000, 'objective : ', 1141931.3999999939)
('iter : ', 5400000, 'objective : ', 1041248.2740000112)
('iter : ', 6300000, 'objective : ', 1081015.2999999954)
('iter : ', 6100000, 'objective : ', 1050350.1299999943)
('iter : ', 6400000, 'objective : ', 1143972.6399999964)
('iter : ', 6400000, 'objective : ', 1081952.580000001)
('iter : ', 5500000, 'objective : ', 1041057.2660000048)
('iter : ', 6200000, 'objective : ', 1050671.8700000076)
('iter : ', 6500000, 'objective : ', 1145472.9200000151)
('iter : ', 6500000, 'objective : ', 1082549.2799999984)
('iter : ', 5600000, 'objective : ', 1040889.5880000116)
('iter : ', 6300000, 'objective : ', 1050894.3800000136)
('iter : ', 6600000, 'objective : ', 1147949.6399999924)
('iter : ', 6600000, 'objective : ', 1083196.4400000055)
('iter : ', 5700000, 'objective : ', 1040768.823999993)
('iter : ', 6400000, 'objective : ', 1051083.4500000044)
('iter : ', 6700000, 'objective : ', 1150335.6799999888)
('iter : ', 6700000, 'objective : ', 1083501.6799999962)
('iter : ', 5800000, 'objective : ', 1040654.0199999979)
('iter : ', 6500000, 'objective : ', 1051466.2400000035)
('iter : ', 6800000, 'objective : ', 1152399.9600000037)
('iter : ', 6800000, 'objective : ', 1083956.0999999952)
('iter : ', 5900000, 'objective : ', 1040590.7520000006)
('iter : ', 6600000, 'objective : ', 1051463.129999999)
('iter : ', 6900000, 'objective : ', 1154332.1599999892)
('iter : ', 6900000, 'objective : ', 1084290.6199999978)
('iter : ', 6700000, 'objective : ', 1051642.0500000019)
('iter : ', 6000000, 'objective : ', 1040540.593999997)
('iter : ', 7000000, 'objective : ', 1155583.8400000015)
('iter : ', 7000000, 'objective : ', 1085081.8399999964)
('iter : ', 6800000, 'objective : ', 1051890.0900000045)
('iter : ', 6100000, 'objective : ', 1040436.872000002)
('iter : ', 7100000, 'objective : ', 1156554.1999999913)
('iter : ', 7100000, 'objective : ', 1085254.3200000033)
('iter : ', 6200000, 'objective : ', 1040358.4759999926)
('iter : ', 7200000, 'objective : ', 1157824.7599999988)
('iter : ', 6900000, 'objective : ', 1052160.7099999962)
('iter : ', 7200000, 'objective : ', 1085642.3400000064)
('iter : ', 6300000, 'objective : ', 1040246.1600000088)
('iter : ', 7300000, 'objective : ', 1159499.479999997)
('iter : ', 7000000, 'objective : ', 1052388.5099999858)
('iter : ', 7300000, 'objective : ', 1086102.9799999918)
('iter : ', 7400000, 'objective : ', 1161531.2399999939)
('iter : ', 7100000, 'objective : ', 1052497.749999996)
('iter : ', 6400000, 'objective : ', 1040136.1580000052)
('iter : ', 7400000, 'objective : ', 1086317.7199999818)
('iter : ', 7500000, 'objective : ', 1163104.7200000053)
('iter : ', 7200000, 'objective : ', 1052957.2600000021)
('iter : ', 6500000, 'objective : ', 1040099.5740000024)
('iter : ', 7500000, 'objective : ', 1086679.6799999978)
('iter : ', 7600000, 'objective : ', 1163984.9199999883)
('iter : ', 7300000, 'objective : ', 1053366.799999991)
('iter : ', 7600000, 'objective : ', 1086800.21999999)
('iter : ', 6600000, 'objective : ', 1040038.8059999993)
('iter : ', 7700000, 'objective : ', 1163936.5599999879)
('iter : ', 7400000, 'objective : ', 1053766.2499999951)
('iter : ', 7700000, 'objective : ', 1087459.6800000025)
('iter : ', 6700000, 'objective : ', 1040015.0020000091)
('iter : ', 7800000, 'objective : ', 1165245.4799999981)
('iter : ', 7500000, 'objective : ', 1054162.640000002)
('iter : ', 7800000, 'objective : ', 1087666.6600000043)
('iter : ', 6800000, 'objective : ', 1039986.8340000042)
('iter : ', 7900000, 'objective : ', 1166163.1199999808)
('iter : ', 7900000, 'objective : ', 1088050.3200000054)
('iter : ', 7600000, 'objective : ', 1054511.4099999985)
('iter : ', 6900000, 'objective : ', 1039899.0580000021)
('iter : ', 8000000, 'objective : ', 1088085.3999999878)
('iter : ', 8000000, 'objective : ', 1166607.3200000098)
('iter : ', 7700000, 'objective : ', 1054974.3799999999)
('iter : ', 7000000, 'objective : ', 1039854.0679999979)
('iter : ', 8100000, 'objective : ', 1167277.2399999897)
('iter : ', 7800000, 'objective : ', 1055438.1599999925)
('iter : ', 8100000, 'objective : ', 1088531.2599999888)
('iter : ', 7100000, 'objective : ', 1039812.3219999985)
('iter : ', 8200000, 'objective : ', 1168052.4799999879)
('iter : ', 7900000, 'objective : ', 1055649.4800000009)
('iter : ', 8200000, 'objective : ', 1089193.0999999933)
('iter : ', 7200000, 'objective : ', 1039748.6299999908)
('iter : ', 8000000, 'objective : ', 1055927.9099999969)
('iter : ', 8300000, 'objective : ', 1169511.8400000026)
('iter : ', 8300000, 'objective : ', 1089685.9999999958)
('iter : ', 7300000, 'objective : ', 1039706.4439999994)
('iter : ', 8400000, 'objective : ', 1090212.4399999995)
('iter : ', 8400000, 'objective : ', 1169029.2799999965)
('iter : ', 8100000, 'objective : ', 1056257.6400000101)
('iter : ', 7400000, 'objective : ', 1039682.1119999946)
('iter : ', 8500000, 'objective : ', 1090430.4399999953)
('iter : ', 8500000, 'objective : ', 1168776.6400000011)
('iter : ', 8200000, 'objective : ', 1056817.3799999962)
('iter : ', 8600000, 'objective : ', 1091159.7799999942)
('iter : ', 7500000, 'objective : ', 1039650.1300000008)
('iter : ', 8600000, 'objective : ', 1168532.3199999919)
('iter : ', 8300000, 'objective : ', 1057335.7299999939)
('iter : ', 8700000, 'objective : ', 1091682.1399999904)
('iter : ', 8700000, 'objective : ', 1170041.4400000032)
('iter : ', 8400000, 'objective : ', 1057707.5799999987)
('iter : ', 7600000, 'objective : ', 1039562.5519999915)
('iter : ', 8800000, 'objective : ', 1092751.039999994)
('iter : ', 8800000, 'objective : ', 1169336.5200000058)
('iter : ', 8500000, 'objective : ', 1058082.4800000172)
('iter : ', 7700000, 'objective : ', 1039508.6099999859)
('iter : ', 8900000, 'objective : ', 1093508.5000000079)
('iter : ', 8900000, 'objective : ', 1170620.1199999887)
('iter : ', 8600000, 'objective : ', 1058529.1400000066)
('iter : ', 7800000, 'objective : ', 1039483.5279999927)
('iter : ', 9000000, 'objective : ', 1094188.1799999957)
('iter : ', 9000000, 'objective : ', 1170577.0000000219)
('iter : ', 8700000, 'objective : ', 1058923.6000000045)
('iter : ', 7900000, 'objective : ', 1039495.5800000001)
('iter : ', 9100000, 'objective : ', 1094843.1400000015)
('iter : ', 9100000, 'objective : ', 1169990.1999999934)
('iter : ', 8800000, 'objective : ', 1059239.9999999884)
('iter : ', 8000000, 'objective : ', 1039459.9699999902)
('iter : ', 9200000, 'objective : ', 1095686.2000000027)
('iter : ', 9200000, 'objective : ', 1168471.0000000072)
('iter : ', 8900000, 'objective : ', 1059561.6500000004)
('iter : ', 9300000, 'objective : ', 1096334.5600000017)
('iter : ', 8100000, 'objective : ', 1039399.5920000037)
('iter : ', 9300000, 'objective : ', 1168279.79999999)
('iter : ', 9000000, 'objective : ', 1060069.4799999939)
('iter : ', 9400000, 'objective : ', 1097159.4800000107)
('iter : ', 8200000, 'objective : ', 1039367.9460000015)
('iter : ', 9400000, 'objective : ', 1167929.4800000035)
('iter : ', 9100000, 'objective : ', 1060431.1499999992)
('iter : ', 9500000, 'objective : ', 1098245.9600000116)
('iter : ', 8300000, 'objective : ', 1039300.2819999991)
('iter : ', 9200000, 'objective : ', 1060970.2300000004)
('iter : ', 9500000, 'objective : ', 1167047.8000000026)
('iter : ', 9600000, 'objective : ', 1099389.5000000002)
('iter : ', 9300000, 'objective : ', 1061331.8800000087)
('iter : ', 8400000, 'objective : ', 1039281.0879999967)
('iter : ', 9600000, 'objective : ', 1165963.8)
('iter : ', 9700000, 'objective : ', 1100014.8999999976)
('iter : ', 8500000, 'objective : ', 1039266.1240000009)
('iter : ', 9400000, 'objective : ', 1061830.5599999959)
('iter : ', 9700000, 'objective : ', 1166325.4400000088)
('iter : ', 9800000, 'objective : ', 1100847.9600000011)
('iter : ', 9500000, 'objective : ', 1062102.3099999847)
('iter : ', 8600000, 'objective : ', 1039239.9720000079)
('iter : ', 9800000, 'objective : ', 1166550.1600000001)
('iter : ', 9900000, 'objective : ', 1102318.2800000031)
('iter : ', 9600000, 'objective : ', 1062718.149999995)
('iter : ', 9900000, 'objective : ', 1166610.3599999929)
('iter : ', 8700000, 'objective : ', 1039215.5160000045)
('iter : ', 9700000, 'objective : ', 1063209.9299999978)
('iter : ', 8800000, 'objective : ', 1039220.3860000126)
('iter : ', 9800000, 'objective : ', 1063631.6100000094)
('iter : ', 8900000, 'objective : ', 1039220.2360000011)
('iter : ', 9900000, 'objective : ', 1064052.6600000029)
('iter : ', 9000000, 'objective : ', 1039228.3499999975)
('iter : ', 9100000, 'objective : ', 1039224.8560000011)
('iter : ', 9200000, 'objective : ', 1039228.5379999883)
('iter : ', 9300000, 'objective : ', 1039215.4640000004)
('iter : ', 10000000, 'objective : ', 1103197.4800000065)
('iter : ', 9400000, 'objective : ', 1039191.7739999986)
('iter : ', 10000000, 'objective : ', 1165710.3200000152)
('iter : ', 9500000, 'objective : ', 1039187.136000002)
('iter : ', 9600000, 'objective : ', 1039182.4220000037)
('iter : ', 9700000, 'objective : ', 1039192.4100000103)
('iter : ', 10000000, 'objective : ', 1064492.4200000009)
('iter : ', 9800000, 'objective : ', 1039178.647999995)
('iter : ', 9900000, 'objective : ', 1039139.0780000063)
('iter : ', 11000000, 'objective : ', 1113162.8600000062)
('iter : ', 11000000, 'objective : ', 1176966.9599999941)
('iter : ', 11000000, 'objective : ', 1068236.2999999928)
('iter : ', 10000000, 'objective : ', 1039154.6140000008)
('iter : ', 12000000, 'objective : ', 1122053.0599999963)
('iter : ', 12000000, 'objective : ', 1187819.520000003)
('iter : ', 12000000, 'objective : ', 1071927.7499999939)
('iter : ', 11000000, 'objective : ', 1039405.5760000012)
('iter : ', 13000000, 'objective : ', 1130089.5399999924)
('iter : ', 13000000, 'objective : ', 1200508.7599999972)
('iter : ', 13000000, 'objective : ', 1075159.1599999934)
('iter : ', 14000000, 'objective : ', 1136426.3200000126)
('iter : ', 14000000, 'objective : ', 1210877.2799999949)
('iter : ', 12000000, 'objective : ', 1039974.082000008)
('iter : ', 14000000, 'objective : ', 1078604.0400000052)
('iter : ', 15000000, 'objective : ', 1142793.7800000103)
('iter : ', 15000000, 'objective : ', 1219604.679999992)
('iter : ', 13000000, 'objective : ', 1040202.1940000063)
('iter : ', 15000000, 'objective : ', 1081393.6800000104)
('iter : ', 16000000, 'objective : ', 1145977.3200000005)
('iter : ', 16000000, 'objective : ', 1218838.960000006)
('iter : ', 14000000, 'objective : ', 1040844.8400000113)
('iter : ', 16000000, 'objective : ', 1083879.7300000046)
('iter : ', 17000000, 'objective : ', 1219193.400000006)
('iter : ', 17000000, 'objective : ', 1147722.7599999893)
('iter : ', 15000000, 'objective : ', 1041654.4800000186)
('iter : ', 17000000, 'objective : ', 1086577.4000000025)
('iter : ', 18000000, 'objective : ', 1223555.2400000056)
('iter : ', 18000000, 'objective : ', 1148689.4999999979)
('iter : ', 16000000, 'objective : ', 1042313.4479999965)
('iter : ', 18000000, 'objective : ', 1090016.939999996)
('iter : ', 19000000, 'objective : ', 1228529.4800000023)
('iter : ', 19000000, 'objective : ', 1147090.7599999905)
('iter : ', 17000000, 'objective : ', 1043006.7540000069)
('iter : ', 19000000, 'objective : ', 1092801.8199999875)
('iter : ', 20000000, 'objective : ', 1235222.1999999939)
('iter : ', 20000000, 'objective : ', 1147428.0199999986)
('iter : ', 20000000, 'objective : ', 1095393.2899999982)
('iter : ', 21000000, 'objective : ', 1247388.1200000083)
('iter : ', 18000000, 'objective : ', 1043463.4980000056)
('iter : ', 21000000, 'objective : ', 1148796.080000005)
('iter : ', 22000000, 'objective : ', 1262724.4800000002)
('iter : ', 21000000, 'objective : ', 1098823.2899999963)
('iter : ', 22000000, 'objective : ', 1150892.0200000049)
('iter : ', 19000000, 'objective : ', 1043987.804000002)
('iter : ', 23000000, 'objective : ', 1276646.3999999913)
('iter : ', 23000000, 'objective : ', 1155634.7599999893)
('iter : ', 22000000, 'objective : ', 1102422.8900000032)
('iter : ', 20000000, 'objective : ', 1044614.997999987)
('iter : ', 24000000, 'objective : ', 1289222.0800000024)
('iter : ', 24000000, 'objective : ', 1159636.6399999985)
('iter : ', 23000000, 'objective : ', 1106580.6299999987)
('iter : ', 21000000, 'objective : ', 1044988.1079999924)
('iter : ', 25000000, 'objective : ', 1300805.7600000072)
('iter : ', 25000000, 'objective : ', 1165339.6600000118)
('iter : ', 24000000, 'objective : ', 1110544.0900000019)
('iter : ', 22000000, 'objective : ', 1045258.2560000028)
('iter : ', 26000000, 'objective : ', 1313194.9600000284)
('iter : ', 26000000, 'objective : ', 1169791.7600000042)
('iter : ', 25000000, 'objective : ', 1115407.5399999951)
('iter : ', 23000000, 'objective : ', 1045715.0400000002)
('iter : ', 27000000, 'objective : ', 1317221.8000000126)
('iter : ', 27000000, 'objective : ', 1173843.2399999965)
('iter : ', 26000000, 'objective : ', 1119002.8899999994)
('iter : ', 24000000, 'objective : ', 1046450.7280000073)
('iter : ', 28000000, 'objective : ', 1319054.7199999918)
('iter : ', 28000000, 'objective : ', 1177766.9800000086)
('iter : ', 27000000, 'objective : ', 1122645.6500000053)
('iter : ', 29000000, 'objective : ', 1317679.8400000003)
('iter : ', 25000000, 'objective : ', 1046829.3640000082)
('iter : ', 29000000, 'objective : ', 1181452.4599999981)
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
2019-10-02 12:14:59.147 Python[3154:234357802] In void modifyShouldRestoreOnRelaunchCounter(int32_t), _LSSetApplicationInformationItem(_kLSPersistenceSuppressRelaunchAtLoginKey) returned error -600
('iter : ', 1, 'objective : ', 1100464.3999999994)
('iter : ', 2, 'objective : ', 1100468.4400000004)
('iter : ', 3, 'objective : ', 1100468.4000000004)
('iter : ', 4, 'objective : ', 1100464.6799999997)
('iter : ', 28000000, 'objective : ', 1126699.3999999925)
('iter : ', 5, 'objective : ', 1100454.2400000016)
('iter : ', 6, 'objective : ', 1100453.9200000013)
('iter : ', 7, 'objective : ', 1100453.9600000014)
('iter : ', 8, 'objective : ', 1100457.9600000004)
('iter : ', 9, 'objective : ', 1100452.0800000015)
('iter : ', 10, 'objective : ', 1100455.8000000021)
('iter : ', 20, 'objective : ', 1100458.0800000047)
('iter : ', 30, 'objective : ', 1100412.3600000069)
('iter : ', 40, 'objective : ', 1100428.4800000053)
('iter : ', 50, 'objective : ', 1100435.400000005)
('iter : ', 60, 'objective : ', 1100422.6800000034)
('iter : ', 70, 'objective : ', 1100419.0000000019)
('iter : ', 80, 'objective : ', 1100405.6000000029)
('iter : ', 90, 'objective : ', 1100380.1600000057)
('iter : ', 100, 'objective : ', 1100393.1600000048)
('iter : ', 200, 'objective : ', 1100199.399999998)
('iter : ', 300, 'objective : ', 1100043.320000004)
('iter : ', 400, 'objective : ', 1099805.0800000054)
('iter : ', 500, 'objective : ', 1099567.7600000098)
('iter : ', 600, 'objective : ', 1099339.4400000079)
('iter : ', 700, 'objective : ', 1099108.8800000108)
('iter : ', 800, 'objective : ', 1098940.2400000077)
('iter : ', 900, 'objective : ', 1098763.5200000014)
('iter : ', 1000, 'objective : ', 1098560.3199999968)
('iter : ', 2000, 'objective : ', 1096909.5600000005)
('iter : ', 3000, 'objective : ', 1095399.3600000001)
('iter : ', 30000000, 'objective : ', 1313987.1200000078)
('iter : ', 4000, 'objective : ', 1094047.8000000082)
('iter : ', 5000, 'objective : ', 1092361.3600000087)
('iter : ', 6000, 'objective : ', 1091045.6800000018)
('iter : ', 30000000, 'objective : ', 1185560.060000011)
_RegisterApplication(), FAILED TO establish the default connection to the WindowServer, _CGSDefaultConnection() is NULL.
('iter : ', 7000, 'objective : ', 1089782.6400000071)
('iter : ', 1, 'objective : ', 1100465.3600000013)
('iter : ', 2, 'objective : ', 1100461.400000002)
('iter : ', 8000, 'objective : ', 1088578.6000000013)
('iter : ', 3, 'objective : ', 1100460.1600000018)
('iter : ', 9000, 'objective : ', 1087458.4800000049)
('iter : ', 4, 'objective : ', 1100464.1600000008)
('iter : ', 26000000, 'objective : ', 1047141.8300000082)
('iter : ', 5, 'objective : ', 1100461.5200000016)
('iter : ', 10000, 'objective : ', 1086349.5199999991)
('iter : ', 6, 'objective : ', 1100454.5200000023)
('iter : ', 20000, 'objective : ', 1078463.6399999985)
('iter : ', 7, 'objective : ', 1100452.4400000025)
('iter : ', 8, 'objective : ', 1100449.9200000025)
('iter : ', 30000, 'objective : ', 1072736.6000000085)
('iter : ', 9, 'objective : ', 1100445.8400000019)
('iter : ', 40000, 'objective : ', 1068044.2400000042)
('iter : ', 10, 'objective : ', 1100443.9200000013)
('iter : ', 50000, 'objective : ', 1064275.3600000022)
('iter : ', 20, 'objective : ', 1100404.680000003)
('iter : ', 60000, 'objective : ', 1061321.6800000048)
('iter : ', 30, 'objective : ', 1100363.6000000015)
('iter : ', 40, 'objective : ', 1100323.760000004)
('iter : ', 50, 'objective : ', 1100302.6000000047)
('iter : ', 70000, 'objective : ', 1058582.7200000058)
('iter : ', 60, 'objective : ', 1100300.4000000022)
('iter : ', 70, 'objective : ', 1100275.8000000054)
('iter : ', 80, 'objective : ', 1100267.3600000022)
